Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,Return Status
C-10000,Caroline Gardner,Corporate,United States,Phoenix,Pennsylvania,West,OFF-BI-100142,Office Supplies,Paper,Prestige Round Ring Binders,558.0,6,56.46,0,COD,Not Returned
C-10001,Henry Braunhardt,Home Office,United States,Los Angeles,Arizona,South,OFF-BI-100124,Office Supplies,Labels,Wilson Jones Century Plastic Molded Ring Binders,7.86,3,1.49,0,Cards,Not Returned
C-10002,Todd Nguyen,Corporate,United States,Chicago,Arizona,East,OFF-BI-100121,Furniture,Furnishings,Deluxe Heavy-Duty Vinyl Round Ring Binder,388.98,2,125.66,0,COD,Not Returned
C-10003,Shahid Nguyen,Consumer,United States,Philadelphia,Illinois,Central,OFF-BI-100157,Office Supplies,Labels,Prestige Round Ring Binders,88.28,2,11.63,0,Online,Not Returned
C-10004,Henry Wallace,Consumer,United States,New York City,Pennsylvania,Central,OFF-BI-100093,Office Supplies,Paper,Vinyl Sectional Post Binders,89.16,3,14.44,0,COD,Not Returned
C-10005,Ken Lee,Consumer,United States,New York City,Pennsylvania,West,OFF-BI-100105,Office Supplies,Art,Vinyl Sectional Post Binders,75.84,4,4.9,0,Online,Not Returned
C-10006,Scott MacAllister,Consumer,United States,Phoenix,New York,Central,OFF-BI-100176,Furniture,Chairs,GBC DocuBind PRO Manual Binding Machine,1353.63,3,149.46,0,Online,Not Returned
C-10007,Toby Frazer,Consumer,United States,San Antonio,Arizona,South,OFF-BI-100117,Office Supplies,Binders,Prestige Round Ring Binders,181.45,5,18.55,0,COD,Not Returned
C-10008,Lena Boland,Consumer,United States,San Antonio,Illinois,East,OFF-BI-100081,Furniture,Chairs,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",1492.26,2,298.78,0,COD,Not Returned
C-10009,Ben Reichertbach,Corporate,United States,Philadelphia,California,Central,OFF-BI-100086,Furniture,Tables,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",1695.18,3,509.84,0,COD,Not Returned
C-10010,Adam Reynat,Home Office,United States,Phoenix,Illinois,East,OFF-BI-100137,Office Supplies,Binders,Avery Hanging File Binders,160.3,2,19.52,0,COD,Not Returned
C-10011,Frank Johnson,Corporate,United States,Los Angeles,Pennsylvania,East,OFF-BI-100159,Office Supplies,Paper,Canvas Sectional Post Binders,43.26,2,2.38,0,Cards,Not Returned
C-10012,Sally Hopkins,Home Office,United States,San Antonio,California,Central,OFF-BI-100135,Office Supplies,Storage,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",74.16,2,7.67,0,Online,Not Returned
C-10013,Pete Dana,Corporate,United States,Philadelphia,California,South,OFF-BI-100110,Technology,Accessories,Prestige Round Ring Binders,1367.68,2,156.86,0,COD,Not Returned
C-10014,John Peis,Corporate,United States,Chicago,New York,West,OFF-BI-100171,Furniture,Furnishings,Wilson Jones Century Plastic Molded Ring Binders,336.46,2,73.06,0,Cards,Not Returned
C-10015,Toby Kriz,Consumer,United States,San Antonio,Arizona,East,OFF-BI-100068,Office Supplies,Labels,3M Organizer Strips,201.24,4,33.21,0,Cards,Not Returned
C-10016,Henry Dana,Consumer,United States,Phoenix,Texas,South,OFF-BI-100061,Office Supplies,Paper,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",59.89,1,8.67,0,COD,Not Returned
C-10017,Ken Williamson,Home Office,United States,Phoenix,Pennsylvania,West,OFF-BI-100068,Furniture,Furnishings,Deluxe Heavy-Duty Vinyl Round Ring Binder,343.53,1,70.13,0,COD,Not Returned
C-10018,Evan MacAllister,Corporate,United States,Chicago,California,East,OFF-BI-100061,Furniture,Furnishings,Satellite Sectional Post Binders,894.63,3,121.41,0,Online,Not Returned
C-10019,Thomas Hughsby,Consumer,United States,New York City,California,West,OFF-BI-100111,Office Supplies,Storage,Avery Hidden Tab Dividers for Binding Systems,330.84,6,66.01,1,COD,Returned
C-10020,Toby Jumper,Corporate,United States,Chicago,Pennsylvania,East,OFF-BI-100168,Office Supplies,Art,Deluxe Heavy-Duty Vinyl Round Ring Binder,206.18,2,17.49,1,Cards,Returned
C-10021,Evan Wallace,Home Office,United States,Phoenix,New York,South,OFF-BI-100021,Furniture,Chairs,Tuff Stuff Recycled Round Ring Binders,801.66,2,263.58,0,COD,Not Returned
C-10022,William Boland,Home Office,United States,Chicago,California,East,OFF-BI-100101,Furniture,Chairs,Deluxe Heavy-Duty Vinyl Round Ring Binder,562.66,1,65.34,1,Cards,Returned
C-10023,Patrick Miller,Home Office,United States,Phoenix,Texas,East,OFF-BI-100133,Office Supplies,Binders,Prestige Round Ring Binders,291.2,4,29.95,0,Online,Not Returned
C-10024,Jamie Nguyen,Consumer,United States,San Antonio,Pennsylvania,West,OFF-BI-100084,Office Supplies,Art,Deluxe Heavy-Duty Vinyl Round Ring Binder,190.47,3,15.5,0,COD,Not Returned
C-10025,Caroline Hughsby,Consumer,United States,San Diego,Texas,Central,OFF-BI-100054,Office Supplies,Paper,Ibico Ibimaster 300 Manual Binding System,115.92,3,15.68,0,Cards,Not Returned
C-10026,Bradley Nguyen,Home Office,United States,Philadelphia,Arizona,South,OFF-BI-100179,Office Supplies,Art,Satellite Sectional Post Binders,95.46,3,12.61,0,COD,Not Returned
C-10027,Luke Peis,Consumer,United States,San Diego,Pennsylvania,Central,OFF-BI-100037,Office Supplies,Art,Vinyl Sectional Post Binders,58.77,1,4.19,0,COD,Not Returned
